id,title,url,artistUrl,artistName,artistId,completitionYear
"57727893edc2cb3880d82d12","The problem we all live with","the-problem-we-all-live-with-1935","norman-rockwell","Norman Rockwell","57726d8aedc2cb3880b498e3",1964
"57726f00edc2cb3880b9322d","Olympia","olympia-1863","edouard-manet","Edouard Manet","57726d7eedc2cb3880b47e5b",1863
"577274e5edc2cb3880cce2b4","Sarah Bernhardt","sarah-bernhardt-1896","alphonse-mucha","Alphonse Mucha","57726d85edc2cb3880b48df8",1896
"57726f4cedc2cb3880ba07ed","Nude Maja","nude-maja-1800","francisco-goya","Francisco Goya","57726d7fedc2cb3880b480ca",1800
"57726f1fedc2cb3880b962c5","The Red Dragon and the Woman Clothed with the Sun","the-red-dragon-and-the-woman-clothed-with-the-sun-1805","william-blake","William Blake","57726d7eedc2cb3880b47f24",1805
"57726ea6edc2cb3880b7e812","The Angelus","the-angelus-1859","jean-francois-millet","Jean-Francois Millet","57726d7dedc2cb3880b47d2a",1859
"5772788bedc2cb3880d82158","Boy and Girl gazing at the Moon","boy-and-girl-gazing-at-the-moon-1926","norman-rockwell","Norman Rockwell","57726d8aedc2cb3880b498e3",1926
"57727673edc2cb3880d1662e","Nighthawks","nighthawks","edward-hopper","Edward Hopper","57726d87edc2cb3880b49321",1942
"57727102edc2cb3880c0288d","Circle Limit I","circle-limit-i","m-c-escher","M.C. Escher","57726d82edc2cb3880b48668",1958
"57727448edc2cb3880cb8302","The Last Supper","the-last-supper-1495","leonardo-da-vinci","Leonardo da Vinci","57726d85edc2cb3880b48ccd",1495
"5772791eedc2cb3880da0eee","Woman and Horses","woman-and-horses","octavio-ocampo","Octavio Ocampo","57726d8bedc2cb3880b49b4c",null
"5772758fedc2cb3880cead4e","At the Moulin Rouge+ The Dance","at-the-moulin-rouge-the-dance-1890","henri-de-toulouse-lautrec","Henri de Toulouse-Lautrec","57726d86edc2cb3880b48f5d",1890
"57727089edc2cb3880be55d5","Don Quixote and Sancho Setting Out","don-quixote-and-sancho-setting-out-1863","gustave-dore","Gustave Dore","57726d81edc2cb3880b48481",1863
"57726e45edc2cb3880b69781","The Triumph of Death","the-triumph-of-death-1562-1","pieter-bruegel-the-elder","Pieter Bruegel the Elder","57726d7cedc2cb3880b47b32",1563
"57726f76edc2cb3880baa405","The Concert in the Egg","the-concert-in-the-egg-1480","hieronymus-bosch","Hieronymus Bosch","57726d7fedc2cb3880b481c6",1480
"57726f00edc2cb3880b931ff","Music in the Tuileries Garden","music-in-the-tuileries-garden-1862-1","edouard-manet","Edouard Manet","57726d7eedc2cb3880b47e5b",1862
"57726ee3edc2cb3880b8a8dd","Danae","danae-1908","gustav-klimt","Gustav Klimt","57726d7eedc2cb3880b47e13",1908
"57727139edc2cb3880c0ddfc","Irises","irises-1889","vincent-van-gogh","Vincent van Gogh","57726d82edc2cb3880b486a0",1889
"577275ccedc2cb3880cf614e","Blue Morning Glories","blue-morning-glories","georgia-o-keeffe","Georgia O'Keeffe","57726d86edc2cb3880b49037",1935
"577273c5edc2cb3880c9c28d","In the Style of Kairouan","in-the-style-of-kairouan-1914","paul-klee","Paul Klee","57726d81edc2cb3880b483ee",1914
"57726ee7edc2cb3880b8afab","The Beethoven Frieze: The Hostile Powers. Far Wall","the-beethoven-frieze-the-hostile-powers-far-wall-1902-1","gustav-klimt","Gustav Klimt","57726d7eedc2cb3880b47e13",1902
"5772727dedc2cb3880c55aeb","Two Ballet Dancers","two-ballet-dancers","edgar-degas","Edgar Degas","57726d83edc2cb3880b489b9",1879
"57726e31edc2cb3880b61e40","Broadway Boogie Woogie","broadway-boogie-woogie-1943","piet-mondrian","Piet Mondrian","57726d7bedc2cb3880b47ad4",1943
"57726e81edc2cb3880b74fcc","Blue rider","blue-rider-1903","wassily-kandinsky","Wassily Kandinsky","57726d7dedc2cb3880b47cb0",1903
"57727741edc2cb3880d4421f","The Pine Tree at St. Tropez","the-pine-tree-at-st-tropez-1909","paul-signac","Paul Signac","57726d88edc2cb3880b495bf",1909
"57726ee3edc2cb3880b8aa4d","Goldfish","goldfish-1902","gustav-klimt","Gustav Klimt","57726d7eedc2cb3880b47e13",1902
"57727637edc2cb3880d0b662","Eiffel Tower","eiffel-tower-1914","robert-delaunay","Robert Delaunay","57726d87edc2cb3880b491d5",1914
"5772791dedc2cb3880da0dbe","Kiss of the Sea","kiss-of-the-sea","octavio-ocampo","Octavio Ocampo","57726d8bedc2cb3880b49b4c",null
"57727eecedc2cb3880ec57ec","Color Study: Squares with Concentric Circles","color-study-squares-with-concentric-circles-1913","wassily-kandinsky","Wassily Kandinsky","57726d7dedc2cb3880b47cb0",1913
"57726e82edc2cb3880b750e0","Composition VI","composition-vi-1913","wassily-kandinsky","Wassily Kandinsky","57726d7dedc2cb3880b47cb0",1913
"577274e5edc2cb3880cce284","Salome","salome-1897","alphonse-mucha","Alphonse Mucha","57726d85edc2cb3880b48df8",1897
"577275dcedc2cb3880cf7b12","Queen Elizabeth II","queen-elizabeth-ii-2001","lucian-freud","Lucian Freud","57726d86edc2cb3880b490ab",2001
"57726ee7edc2cb3880b8afdb","The Beethoven Frieze: The Longing for Happiness Finds Repose in Poetry. Right wall","the-beethoven-frieze-the-longing-for-happiness-finds-repose-in-poetry-right-wall-1902-1","gustav-klimt","Gustav Klimt","57726d7eedc2cb3880b47e13",1902
"577275e4edc2cb3880cf8747","The Archangel Michael defeating Satan","the-archangel-michael-defeating-satan-1635","guido-reni","Guido Reni","57726d86edc2cb3880b490e9",1635
"57726e12edc2cb3880b5e955","Vertumnus (Emperor Rudolph II)","vertumnus-emperor-rudolph-ii","giuseppe-arcimboldo","Giuseppe Arcimboldo","57726d7bedc2cb3880b47a39",1591
"577275a4edc2cb3880cecc68","Portrait of Thomas Cromwell","portrait-of-thomas-cromwell","hans-holbein-the-younger","Hans Holbein the Younger","57726d86edc2cb3880b48f9f",1533
"57727448edc2cb3880cb8319","The Madonna of the Carnation","the-madonna-of-the-carnation","leonardo-da-vinci","Leonardo da Vinci","57726d85edc2cb3880b48ccd",1480
"57727265edc2cb3880c4dc43","Dance Class at the Opera+ rue Le Peletier","dance-class-at-the-opera-1872","edgar-degas","Edgar Degas","57726d83edc2cb3880b489b9",1872
"57726e40edc2cb3880b6919f","The Procession to Calvary","christ-carrying-the-cross-1564","pieter-bruegel-the-elder","Pieter Bruegel the Elder","57726d7cedc2cb3880b47b32",1564
"57727229edc2cb3880c425aa","Haystacks at Giverny","haystacks-at-giverny","claude-monet","Claude Monet","57726d83edc2cb3880b488f1",1884
"57726f04edc2cb3880b93a08","The Monet family in their garden at Argenteuil","the-monet-family-in-their-garden-at-argenteuil-1874","edouard-manet","Edouard Manet","57726d7eedc2cb3880b47e5b",1874
"577275cfedc2cb3880cf667e","Light of Iris","light-of-iris","georgia-o-keeffe","Georgia O'Keeffe","57726d86edc2cb3880b49037",1924
"5772713bedc2cb3880c0e144","Landscape with House and Ploughman","landscape-with-house-and-ploughman-1889","vincent-van-gogh","Vincent van Gogh","57726d82edc2cb3880b486a0",1889
"57726f85edc2cb3880bb12ed","Gargantua","gargantua-1831","honore-daumier","Honore Daumier","57726d7fedc2cb3880b481f6",1831
"577275f3edc2cb3880cff835","The Little Knitter","the-little-knitter-1882","william-adolphe-bouguereau","William-Adolphe Bouguereau","57726d86edc2cb3880b49101",1882
"57727018edc2cb3880bceeda","The Arnolfini Wedding. Portrait of Giovanni Arnolfini and his Wife Giovanna Cenami (The Arnolfini Marriage)","the-arnolfini-wedding-the-portrait-of-giovanni-arnolfini-and-his-wife-giovanna-cenami-the-1434","jan-van-eyck","Jan van Eyck","57726d80edc2cb3880b48323",1434
"5772769cedc2cb3880d1fc0d","Ophelia","ophelia","john-everett-millais","John Everett Millais","57726d87edc2cb3880b49447",1852
"57726e85edc2cb3880b75732","On White II","on-white-ii-1923","wassily-kandinsky","Wassily Kandinsky","57726d7dedc2cb3880b47cb0",1923
"577274e5edc2cb3880cce161","Painting","painting","alphonse-mucha","Alphonse Mucha","57726d85edc2cb3880b48df8",1898
"57726e31edc2cb3880b61f36","New York City I","new-york-city-i-1942","piet-mondrian","Piet Mondrian","57726d7bedc2cb3880b47ad4",1942
"57727448edc2cb3880cb8341","The proportions of the human figure (The Vitruvian Man)","the-proportions-of-the-human-figure-the-vitruvian-man-1492","leonardo-da-vinci","Leonardo da Vinci","57726d85edc2cb3880b48ccd",1492
"57727342edc2cb3880c800bc","Black Square","black-square-1915","kazimir-malevich","Kazimir Malevich","57726d84edc2cb3880b48b4f",1915
"577279c8edc2cb3880dc7784","Beat the Whites with the Red Wedge","beat-the-whites-with-the-red-wedge-1920","el-lissitzky","El Lissitzky","57726d8dedc2cb3880b49f14",1920
"5772791eedc2cb3880da0e9e","Skull","skull","octavio-ocampo","Octavio Ocampo","57726d8bedc2cb3880b49b4c",null
"577275d9edc2cb3880cf75c6","Hotel Bedroom","hotel-bedroom","lucian-freud","Lucian Freud","57726d86edc2cb3880b490ab",1954
